magnet,field
0.12,0.97996906
0.13,0.976272739
0.14,0.972237259
0.15,0.967851795
0.16,0.962967729
0.17,0.957692669
0.18,0.952010182
0.19,0.945907053
0.2,0.939373285
0.21,0.932224971
0.22,0.924599755
0.23,0.916478387
0.24,0.907845918
0.25,0.898691695
0.26,0.888805781
0.27,0.878357797
0.28,0.867333568
0.29,0.855721882
0.3,0.843514484
0.31,0.830500585
0.32,0.816875204
0.33,0.802634214
0.34,0.787779523
0.35,0.772319079
0.36,0.756058157
0.37,0.739221601
0.38,0.721822369
0.39,0.703878674
0.4,0.685413984
0.41,0.666304875
0.42,0.646765508
0.43,0.626821947
0.44,0.60651429
0.45,0.585896671
0.46,0.564948023
0.47,0.543853799
0.48,0.522537227
0.49,0.501114153
0.5,0.479893039
0.51,0.458586866
0.52,0.437372627
0.53,0.41636199
0.54,0.395599779
0.55,0.375063973
0.56,0.354979893
0.57,0.335297216
0.58,0.316048486
0.59,0.297261671
0.6,0.278960154
0.61,0.261358922
0.62,0.244316221
0.63,0.227850742
0.64,0.211974899
0.65,0.196694833
0.66,0.182220999
0.67,0.16835059
0.68,0.155084393
0.69,0.142419226
0.7,0.130347944
0.71,0.119052482
0.72,0.108325348
0.73,0.098149941
0.74,0.088512534
0.75,0.079402267
0.76,0.07096114
0.77,0.062994509
0.78,0.055488567
0.79,0.048426562
0.8,0.041788796
0.81,0.035688516
0.82,0.029963424
0.83,0.024599452
0.84,0.019579339
0.85,0.014882634
0.86,0.010596007
0.87,0.006592473
0.88,0.002859496
0.89,-0.000616903
0.9,-0.00385215
0.91,-0.006791695
0.92,-0.009518442
0.93,-0.012050309
0.94,-0.014398377
0.95,-0.01656689
0.96,-0.01852993
0.97,-0.020338956
0.98,-0.022006096
0.99,-0.02354241
1,-0.024957887
1.01,-0.026217934
1.02,-0.027373833
1.03,-0.028431448
1.04,-0.029397163
1.05,-0.030277878
1.06,-0.031049381
1.07,-0.03174531
1.08,-0.032374821
1.09,-0.03294239
1.1,-0.033447815
1.11,-0.033877496
1.12,-0.034256533
1.13,-0.034589052
1.14,-0.03487747
1.15,-0.035122494
1.16,-0.03532119
1.17,-0.035484973
1.18,-0.035613638
1.19,-0.035710424
1.2,-0.035782013
1.21,-0.03581691
1.22,-0.03583137
1.23,-0.035824517
1.24,-0.035796982
1.25,-0.035750907
1.26,-0.035678207
1.27,-0.035596105
1.28,-0.03549594
1.29,-0.035377991
1.3,-0.035251471
1.31,-0.035113232
1.32,-0.034963853
1.33,-0.03480222
1.34,-0.034631251
1.35,-0.034457902
1.36,-0.034272613
1.37,-0.034079194
1.38,-0.033883652
1.39,-0.033684354
1.4,-0.033472025
1.41,-0.033256655
1.42,-0.033047214
1.43,-0.032834367
1.44,-0.032613009
1.45,-0.032382261
1.46,-0.032167406
1.47,-0.031949102
1.48,-0.031758375
1.49,-0.031586752
1.5,-0.031386267
1.51,-0.03098225
1.52,-0.030769924
1.53,-0.030570291
1.54,-0.030320523
1.55,-0.030073962
1.56,-0.029834474
1.57,-0.029606152
1.58,-0.029374651
1.59,-0.029138913
1.6,-0.028911162
1.61,-0.028686215
1.62,-0.028455911
1.63,-0.028225759
1.64,-0.027998332
1.65,-0.027773264
1.66,-0.027543665
1.67,-0.027323184
1.68,-0.027105486
1.69,-0.02688617
1.7,-0.026662766
1.71,-0.026444035
1.72,-0.026227341
1.73,-0.026013239
1.74,-0.025801268
1.75,-0.025589951
1.76,-0.025383252
1.77,-0.025176143
1.78,-0.024967351
1.79,-0.024759742
1.8,-0.024560318
1.81,-0.024358038
1.82,-0.024162457
1.83,-0.023964213
1.84,-0.023765139
1.85,-0.023578262
1.86,-0.023382198
1.87,-0.02318889
1.88,-0.022999177
1.89,-0.022812863
1.9,-0.022628712
1.91,-0.022441206
1.92,-0.022261063
1.93,-0.02208448
1.94,-0.021907472
1.95,-0.02172588
1.96,-0.021549815
1.97,-0.021379538
1.98,-0.021209972
1.99,-0.021039696
2,-0.020870949
2.01,-0.020704475
2.02,-0.02053664
2.03,-0.020375761
2.04,-0.020220045
2.05,-0.020057602
2.06,-0.019903485
2.07,-0.019746157
2.08,-0.019592213
2.09,-0.019443108
2.1,-0.019295157
2.11,-0.019143558
2.12,-0.018990001
2.13,-0.018844863
2.14,-0.0187053
2.15,-0.018555258
2.16,-0.018419905
2.17,-0.018279279
2.18,-0.018139893
2.19,-0.018004656
2.2,-0.017872869
2.21,-0.017739735
2.22,-0.017602436
2.23,-0.017468669
2.24,-0.017339367
2.25,-0.017208699
2.26,-0.01708674
2.27,-0.016961008
2.28,-0.016835948
2.29,-0.01671394
2.3,-0.016595298
2.31,-0.01647403
2.32,-0.016355224
2.33,-0.016235219
2.34,-0.016113035
2.35,-0.015990373
2.36,-0.015888001
2.37,-0.015773649
2.38,-0.015655504
2.39,-0.015540935
2.4,-0.015436486
2.41,-0.015322839
2.42,-0.015216918
2.43,-0.015104864
2.44,-0.01498885
2.45,-0.014887085
2.46,-0.01480716
2.47,-0.014741575
2.48,-0.014701891
2.49,-0.014634834
2.5,-0.014422303
2.51,-0.014280202
2.52,-0.01415739
2.53,-0.014065906
2.54,-0.013981986
2.55,-0.013846061
2.56,-0.01375465
2.57,-0.013647312
2.58,-0.013545725
2.59,-0.013454659
2.6,-0.01336198
2.61,-0.013263442
2.62,-0.013166242
2.63,-0.013070263
2.64,-0.012976094
2.65,-0.012885032
