time,x,y
0.002423,6.81052,9.41719
0.002424,6.80955,9.41903
0.002424,6.80989,9.41834
0.002424,6.81011,9.41844
0.002424,6.80922,9.41622
0.002424,6.80886,9.41912
0.002424,6.80855,9.41778
0.002424,6.8088,9.41556
0.002424,6.80744,9.41594
0.002424,6.80827,9.41481
0.002424,6.80664,9.41625
0.002424,6.80767,9.41647
0.002424,6.8082,9.41775
0.002424,6.807,9.41638
0.002424,6.80642,9.41731
0.002424,6.8065,9.41344
0.002424,6.80664,9.41563
0.002424,6.80553,9.41462
0.002424,6.80613,9.41631
0.002424,6.80505,9.41625
0.002424,6.80483,9.41437
0.002424,6.80475,9.41369
0.002424,6.80517,9.41472
0.002424,6.8047,9.41428
0.002424,6.80445,9.41647
0.002424,6.80334,9.41413
0.002425,6.80452,9.41303
0.002425,6.8033,9.41394
0.002425,6.8032,9.413
0.002425,6.80316,9.41225
0.002425,6.80342,9.41162
0.002425,6.80177,9.41259
0.002425,6.80323,9.41153
0.002425,6.8027,9.41153
0.002425,6.80333,9.41234
0.002425,6.8023,9.41484
0.002425,6.80088,9.41153
0.002425,6.8015,9.41062
0.002425,6.80177,9.41006
0.002425,6.80089,9.41022
0.002425,6.80138,9.41228
0.002425,6.80113,9.40972
0.002425,6.79986,9.41106
0.002425,6.80022,9.41044
0.002425,6.80058,9.41075
0.002425,6.79972,9.41066
0.002425,6.79969,9.40969
0.002425,6.79889,9.4105
0.002425,6.79919,9.40972
0.002425,6.79967,9.40891
0.002425,6.79869,9.411
0.002426,6.79845,9.40912
0.002426,6.79797,9.40991
0.002426,6.79778,9.40978
0.002426,6.79927,9.41006
0.002426,6.79588,9.40972
0.002426,6.7983,9.409
0.002426,6.79705,9.41041
0.002426,6.79786,9.40769
0.002426,6.79733,9.40947
0.002426,6.79709,9.40881
0.002426,6.79759,9.40912
0.002426,6.79727,9.40813
0.002426,6.7955,9.40553
0.002426,6.797,9.40775
0.002426,6.79642,9.4085
0.002426,6.79533,9.407
0.002426,6.79502,9.40656
0.002426,6.79536,9.40569
0.002426,6.79539,9.40734
0.002426,6.79477,9.40694
0.002426,6.79419,9.40594
0.002426,6.79456,9.40525
0.002426,6.79441,9.40534
0.002426,6.79261,9.40625
0.002426,6.7943,9.4055
0.002427,6.79369,9.40425
0.002427,6.79355,9.40472
0.002427,6.79323,9.40581
0.002427,6.79303,9.40459
0.002427,6.79239,9.40253
0.002427,6.79223,9.40397
0.002427,6.79252,9.40472
0.002427,6.79142,9.40394
0.002427,6.79217,9.40425
0.002427,6.79294,9.40341
0.002427,6.79086,9.40197
0.002427,6.79069,9.40244
0.002427,6.79055,9.40259
0.002427,6.79009,9.40475
0.002427,6.7902,9.40022
0.002427,6.79017,9.40141
0.002427,6.78939,9.40003
0.002427,6.78925,9.40003
0.002427,6.78931,9.39975
0.002427,6.78927,9.4015
0.002427,6.78883,9.40241
0.002427,6.78958,9.40228
0.002427,6.78872,9.40181
0.002427,6.7877,9.40166
0.002427,6.78692,9.40059
0.002428,6.78855,9.40047
0.002428,6.78723,9.40131
0.002428,6.78616,9.40128
0.002428,6.78747,9.40012
0.002428,6.78627,9.39931
0.002428,6.78683,9.39822
0.002428,6.78536,9.39822
0.002428,6.78545,9.39862
0.002428,6.78648,9.39837
0.002428,6.78522,9.39906
0.002428,6.78486,9.39772
0.002428,6.78575,9.39797
0.002428,6.78484,9.39706
0.002428,6.7855,9.39881
0.002428,6.78394,9.39738
0.002428,6.78288,9.39731
0.002428,6.78352,9.39778
0.002428,6.78356,9.39787
0.002428,6.78208,9.39834
0.002428,6.78236,9.39719
0.002428,6.7832,9.39603
0.002428,6.7832,9.39734
0.002428,6.78245,9.39687
0.002428,6.78213,9.39519
0.002428,6.78173,9.39694
0.002429,6.78181,9.39478
0.002429,6.78067,9.39625
0.002429,6.78163,9.39459
0.002429,6.77992,9.39522
0.002429,6.78011,9.39672
0.002429,6.78023,9.39569
0.002429,6.78017,9.39569
0.002429,6.77967,9.39562
0.002429,6.77892,9.39678
0.002429,6.77859,9.395
0.002429,6.77916,9.39453
0.002429,6.77734,9.39559
0.002429,6.77741,9.39434
0.002429,6.77791,9.39466
0.002429,6.77761,9.39328
0.002429,6.777,9.39441
0.002429,6.7768,9.39225
0.002429,6.77673,9.39294
0.002429,6.77588,9.39266
0.002429,6.77689,9.39197
0.002429,6.77513,9.39175
0.002429,6.77591,9.39194
0.002429,6.7753,9.39091
0.002429,6.77484,9.39106
0.002429,6.77567,9.39244
0.00243,6.77475,9.39122
0.00243,6.77553,9.38931
0.00243,6.77444,9.39128
0.00243,6.774,9.39028
0.00243,6.77392,9.39062
0.00243,6.77314,9.39097
0.00243,6.77267,9.38994
0.00243,6.77339,9.39031
0.00243,6.7727,9.39069
0.00243,6.77266,9.38991
0.00243,6.77231,9.38978
0.00243,6.77244,9.38997
0.00243,6.77141,9.38725
0.00243,6.77153,9.38819
0.00243,6.77072,9.38856
0.00243,6.77164,9.38906
0.00243,6.77214,9.38819
0.00243,6.7712,9.39016
0.00243,6.76995,9.3885
0.00243,6.77002,9.38744
0.00243,6.76969,9.38675
0.00243,6.7703,9.38772
0.00243,6.76856,9.38694
0.00243,6.7685,9.38719
0.00243,6.76956,9.38637
0.002431,6.76777,9.38603
0.002431,6.76939,9.38681
0.002431,6.76783,9.38816
0.002431,6.76708,9.38553
0.002431,6.76725,9.38478
0.002431,6.76819,9.3865
0.002431,6.76772,9.387
0.002431,6.76764,9.38559
0.002431,6.76684,9.38494
0.002431,6.76663,9.38559
0.002431,6.76622,9.38494
0.002431,6.76589,9.38381
0.002431,6.76656,9.38425
0.002431,6.76573,9.38466
0.002431,6.76703,9.38406
0.002431,6.7648,9.38353
0.002431,6.76528,9.38444
0.002431,6.7653,9.3845
0.002431,6.76434,9.38209
0.002431,6.76433,9.38134
0.002431,6.76394,9.38312
0.002431,6.764,9.38209
0.002431,6.76409,9.38291
0.002431,6.76267,9.38334
0.002431,6.76281,9.38131
0.002432,6.76261,9.38175
0.002432,6.76341,9.38166
0.002432,6.76284,9.3825
0.002432,6.76245,9.38044
0.002432,6.7617,9.38325
0.002432,6.76098,9.38128
0.002432,6.76077,9.38016
0.002432,6.76152,9.38066
0.002432,6.76059,9.37878
0.002432,6.76048,9.38047
0.002432,6.7613,9.38028
0.002432,6.76,9.37884
0.002432,6.75933,9.37959
0.002432,6.75861,9.37959
0.002432,6.7585,9.38012
0.002432,6.75897,9.38009
0.002432,6.75706,9.37928
0.002432,6.75897,9.37806
0.002432,6.75816,9.37894
0.002432,6.75667,9.37984
0.002432,6.7575,9.37616
0.002432,6.7568,9.37862
0.002432,6.75613,9.37847
0.002432,6.7568,9.37712
0.002432,6.75652,9.37688
0.002433,6.75653,9.37803
0.002433,6.75539,9.37737
0.002433,6.75513,9.37666
0.002433,6.75588,9.37769
0.002433,6.75525,9.37641
0.002433,6.75495,9.37672
0.002433,6.75434,9.37637
0.002433,6.75466,9.37572
0.002433,6.75302,9.37622
0.002433,6.75381,9.37716
0.002433,6.75344,9.37366
0.002433,6.7528,9.37706
0.002433,6.75272,9.37641
0.002433,6.75314,9.37531
0.002433,6.75173,9.37428
0.002433,6.75223,9.37506
0.002433,6.75228,9.37378
0.002433,6.75092,9.37584
0.002433,6.75177,9.37522
0.002433,6.75078,9.37306
0.002433,6.75106,9.37506
0.002433,6.75116,9.374
0.002433,6.74902,9.37259
0.002433,6.749,9.37356
0.002433,6.74955,9.37309
0.002434,6.74902,9.37281
0.002434,6.74813,9.37237
0.002434,6.74845,9.37259
0.002434,6.7487,9.37153
0.002434,6.74802,9.37147
