,xyfit_xdata,xyfit_ydata,yyfit_xdata,yyfit_ydata
61,348.4848484848485,1.0051085805266915,348.4848484848485,0.9960973628160601
62,378.787878787879,1.0060701965764784,378.787878787879,0.9954637713559116
63,409.09090909090924,1.007114685950927,409.09090909090924,0.9947825425145571
64,439.3939393939395,1.0082420486500374,439.3939393939395,0.9940536762919967
65,469.69696969696975,1.0094522846738094,469.69696969696975,0.9932771726882305
66,500.0,1.0107453940222435,500.0,0.9924530317032583
67,530.3030303030305,1.0121213766953392,530.3030303030305,0.9915812533370801
68,560.6060606060605,1.0135802326930967,560.6060606060605,0.9906618375896962
69,590.909090909091,1.0151219620155159,590.909090909091,0.9896947844611064
70,621.2121212121215,1.016746564662597,621.2121212121215,0.9886800939513105
71,651.5151515151515,1.0184540406343399,651.5151515151515,0.9876177660603088
72,681.818181818182,1.0202443899307445,681.818181818182,0.9865078007881013
73,712.121212121212,1.0221176125518108,712.121212121212,0.9853501981346878
74,742.4242424242425,1.0240737084975389,742.4242424242425,0.9841449581000684
75,772.727272727273,1.026112677767929,772.727272727273,0.9828920806842432
76,803.030303030303,1.0282345203629806,803.030303030303,0.981591565887212
77,833.3333333333335,1.0304392362826942,833.3333333333335,0.9802434137089748
78,863.636363636364,1.0327268255270696,863.636363636364,0.9788476241495319
79,893.939393939394,1.0350972880961067,893.939393939394,0.977404197208883
80,924.2424242424245,1.0375506239898056,924.2424242424245,0.9759131328870282
81,954.5454545454545,1.040086833208166,954.5454545454545,0.9743744311839676
82,984.848484848485,1.0427059157511887,984.848484848485,0.972788092099701
83,1015.1515151515155,1.0454078716188728,1015.1515151515155,0.9711541156342285
84,1045.4545454545455,1.0481927008112188,1045.4545454545455,0.9694725017875501
85,1075.757575757576,1.0510604033282265,1075.757575757576,0.9677432505596658
86,1106.060606060606,1.0540109791698962,1106.060606060606,0.9659663619505756
87,1136.3636363636365,1.0570444283362275,1136.3636363636365,0.9641418359602795
88,1166.666666666667,1.0601607508272206,1166.666666666667,0.9622696725887775
89,1196.969696969697,1.0633599466428754,1196.969696969697,0.9603498718360697
90,1227.2727272727275,1.0666420157831922,1227.2727272727275,0.9583824337021558
91,1257.5757575757575,1.0700069582481706,1257.5757575757575,0.9563673581870362
92,1287.878787878788,1.0734547740378109,1287.878787878788,0.9543046452907106
93,1318.1818181818185,1.076985463152113,1318.1818181818185,0.9521942950131791
94,1348.4848484848485,1.0805990255910767,1348.4848484848485,0.9500363073544417
95,1378.787878787879,1.0842954613547022,1378.787878787879,0.9478306823144984
96,1409.090909090909,1.0880747704429896,1409.090909090909,0.9455774198933492
97,1439.3939393939395,1.0919369528559388,1439.3939393939395,0.943276520090994
98,1469.69696969697,1.0958820085935497,1469.69696969697,0.9409279829074331
99,1500.0,1.0999099376558223,1500.0,0.9385318083426663
