x,time
4.1114,-0.0008064999999999999
4.1098,-0.0008064000000000001
4.1112,-0.0008063000000000002
4.111,-0.0008062
4.1118,-0.0008061000000000001
4.1108,-0.0008059999999999999
4.111,-0.0008059
4.1098,-0.0008058000000000002
4.1102,-0.0008056999999999999
4.11,-0.0008056000000000001
4.11,-0.0008055000000000002
4.1092,-0.0008054
4.1102,-0.0008053000000000001
4.1104,-0.0008051999999999998
4.1108,-0.0008051
4.1094,-0.0008050000000000002
4.11,-0.0008048999999999999
4.1098,-0.0008048
4.1098,-0.0008047000000000002
4.1092,-0.0008045999999999999
4.1094,-0.0008045000000000001
4.11,-0.0008043999999999998
4.1098,-0.0008043
4.1098,-0.0008042000000000001
4.1108,-0.0008040999999999999
4.1096,-0.000804
4.1104,-0.0008039000000000002
4.1106,-0.0008037999999999999
4.1106,-0.0008037000000000001
4.1104,-0.0008036000000000002
4.1098,-0.0008035
4.109,-0.0008034000000000001
4.1098,-0.0008032999999999998
4.1094,-0.0008032
4.1098,-0.0008031000000000002
4.1098,-0.0008029999999999999
4.1092,-0.0008029000000000001
4.1102,-0.0008028000000000002
4.1094,-0.0008026999999999999
4.109,-0.0008026000000000001
4.1086,-0.0008024999999999998
4.1088000000000005,-0.0008024
4.1082,-0.0008023000000000001
4.1088000000000005,-0.0008021999999999999
4.1098,-0.0008021
4.1084000000000005,-0.0008020000000000002
4.1094,-0.0008018999999999999
4.1098,-0.0008018000000000001
4.109,-0.0008017000000000002
4.1094,-0.0008016
4.1096,-0.0008015000000000001
4.1108,-0.0008013999999999999
4.111,-0.0008013
4.11,-0.0008012000000000002
4.1106,-0.0008010999999999999
4.1108,-0.0008010000000000001
4.109,-0.0008009000000000002
4.1096,-0.0008008
4.1108,-0.0008007000000000001
4.1102,-0.0008005999999999998
4.1106,-0.0008005
4.1114,-0.0008004000000000002
4.1114,-0.0008002999999999999
4.1102,-0.0008002
4.1114,-0.0008001000000000002
4.1114,-0.0007999999999999999
4.1118,-0.0007999000000000001
4.1124,-0.0007998000000000003
4.1108,-0.0007997
4.1118,-0.0007996000000000001
4.1126000000000005,-0.0007994999999999999
4.113,-0.0007994
4.1112,-0.0007993000000000002
4.1104,-0.0007991999999999999
4.1108,-0.0007991000000000001
4.1104,-0.0007990000000000002
4.1106,-0.0007989
4.1108,-0.0007988000000000001
4.1108,-0.0007986999999999998
4.1106,-0.0007986
4.1114,-0.0007985000000000002
4.1106,-0.0007983999999999999
4.11,-0.0007983
4.1104,-0.0007982000000000002
4.1104,-0.0007980999999999999
4.11,-0.0007980000000000001
4.1092,-0.0007978999999999998
4.11,-0.0007978
4.11,-0.0007977000000000001
4.109,-0.0007975999999999999
4.11,-0.0007975
4.1094,-0.0007974000000000002
4.1098,-0.0007972999999999999
4.1092,-0.0007972000000000001
4.1094,-0.0007971000000000002
4.1102,-0.000797
4.1096,-0.0007969000000000001
4.1096,-0.0007967999999999999
4.1108,-0.0007967
4.1118,-0.0007966000000000002
4.111,-0.0007964999999999999
4.1094,-0.0007964000000000001
4.1108,-0.0007963000000000002
4.1118,-0.0007962
4.1116,-0.0007961000000000001
4.1102,-0.0007959999999999998
4.111,-0.0007959
4.1102,-0.0007958000000000002
4.1112,-0.0007956999999999999
4.11,-0.0007956
4.1098,-0.0007955000000000002
4.1098,-0.0007953999999999999
4.1098,-0.0007953000000000001
4.1096,-0.0007952000000000002
4.1094,-0.0007951
4.1098,-0.0007950000000000001
4.1094,-0.0007948999999999999
4.1102,-0.0007948
4.111,-0.0007947000000000002
4.1106,-0.0007945999999999999
4.1106,-0.0007945000000000001
4.111,-0.0007944000000000002
4.1102,-0.0007943
4.1102,-0.0007942000000000001
4.1108,-0.0007940999999999998
4.1104,-0.000794
4.1092,-0.0007939000000000002
4.1094,-0.0007937999999999999
4.111,-0.0007937
4.1096,-0.0007936000000000002
4.1104,-0.0007934999999999999
4.111,-0.0007934000000000001
4.1104,-0.0007932999999999998
4.112,-0.0007932
4.1116,-0.0007931000000000001
4.1122,-0.0007929999999999999
4.1122,-0.0007929
4.1118,-0.0007928000000000002
4.1116,-0.0007926999999999999
4.1102,-0.0007926000000000001
4.1114,-0.0007925000000000002
4.112,-0.0007924
4.1112,-0.0007923000000000001
4.1128,-0.0007921999999999998
4.1124,-0.0007921
4.112,-0.0007920000000000002
4.1124,-0.0007918999999999999
4.1116,-0.0007918000000000001
4.1126000000000005,-0.0007917000000000002
4.1122,-0.0007915999999999999
4.1118,-0.0007915000000000001
4.112,-0.0007913999999999998
4.1114,-0.0007913
4.1124,-0.0007912000000000001
4.1118,-0.0007910999999999999
4.1108,-0.000791
4.1118,-0.0007909000000000002
4.1112,-0.0007907999999999999
4.1112,-0.0007907000000000001
4.1114,-0.0007906000000000002
4.1116,-0.0007905
4.11,-0.0007904000000000001
4.1098,-0.0007902999999999999
4.1108,-0.0007902
4.111,-0.0007901000000000002
4.1102,-0.0007899999999999999
4.1116,-0.0007899000000000001
4.1106,-0.0007898000000000002
4.111,-0.0007897
4.1104,-0.0007896000000000001
4.1116,-0.0007894999999999998
4.1116,-0.0007894
4.111,-0.0007893000000000002
4.111,-0.0007891999999999999
4.1118,-0.0007891
4.1114,-0.0007890000000000002
4.1116,-0.0007888999999999999
4.1116,-0.0007888000000000001
4.1116,-0.0007887000000000003
4.112,-0.0007886
4.1102,-0.0007885000000000001
4.1112,-0.0007883999999999999
4.1108,-0.0007883
4.1114,-0.0007882000000000002
4.1098,-0.0007880999999999999
4.1112,-0.0007880000000000001
4.1108,-0.0007879000000000002
4.1104,-0.0007878
4.1104,-0.0007877000000000001
4.1102,-0.0007875999999999998
4.1094,-0.0007875
4.1104,-0.0007874000000000002
4.1102,-0.0007872999999999999
4.1098,-0.0007872
4.11,-0.0007871000000000002
4.1088000000000005,-0.0007869999999999999
4.1092,-0.0007869000000000001
4.1094,-0.0007867999999999998
4.1098,-0.0007867
4.1088000000000005,-0.0007866000000000001
4.1102,-0.0007864999999999999
4.1098,-0.0007864
4.11,-0.0007863000000000002
4.1116,-0.0007861999999999999
4.1118,-0.0007861000000000001
4.112,-0.0007860000000000002
4.113,-0.0007859
4.1132,-0.0007858000000000001
4.1126000000000005,-0.0007856999999999999
4.1122,-0.0007856
4.1134,-0.0007855000000000002
4.1142,-0.0007853999999999999
4.1136,-0.0007853000000000001
4.1132,-0.0007852000000000002
4.1136,-0.0007851
4.112,-0.0007850000000000001
4.1116,-0.0007848999999999998
4.1108,-0.0007848
4.111,-0.0007847000000000002
4.11,-0.0007845999999999999
4.112,-0.0007845
4.1112,-0.0007844000000000002
4.1126000000000005,-0.0007842999999999999
4.113,-0.0007842000000000001
4.111,-0.0007841000000000002
4.1108,-0.000784
4.1104,-0.0007839000000000001
4.1108,-0.0007837999999999999
4.1108,-0.0007837
4.1094,-0.0007836000000000002
4.1112,-0.0007834999999999999
4.11,-0.0007834000000000001
4.1092,-0.0007833000000000002
4.1106,-0.0007832
4.1098,-0.0007831000000000001
4.109,-0.0007829999999999998
4.1098,-0.0007829
4.1104,-0.0007828000000000002
4.11,-0.0007826999999999999
4.1096,-0.0007826
4.1106,-0.0007825000000000002
4.1094,-0.0007823999999999999
4.1106,-0.0007823000000000001
4.1108,-0.0007821999999999998
4.11,-0.0007821
4.1096,-0.0007820000000000001
4.1106,-0.0007818999999999999
4.1102,-0.0007818
4.109,-0.0007817000000000002
4.111,-0.0007815999999999999
4.111,-0.0007815000000000001
4.1112,-0.0007814000000000002
4.1104,-0.0007813
4.1114,-0.0007812000000000001
4.1112,-0.0007810999999999998
4.1092,-0.000781
4.1098,-0.0007809000000000002
4.1096,-0.0007807999999999999
4.1098,-0.0007807000000000001
4.1106,-0.0007806000000000002
4.1104,-0.0007804999999999999
4.1108,-0.0007804000000000001
4.1106,-0.0007802999999999998
4.108,-0.0007802
4.1092,-0.0007801000000000002
4.1086,-0.0007799999999999999
4.1088000000000005,-0.0007799
4.1106,-0.0007798000000000002
4.1098,-0.0007796999999999999
4.1104,-0.0007796000000000001
4.1102,-0.0007795000000000002
4.111,-0.0007794
4.1106,-0.0007793000000000001
4.1116,-0.0007791999999999999
4.1108,-0.0007791
4.1104,-0.0007790000000000002
4.1102,-0.0007788999999999999
4.1102,-0.0007788000000000001
4.1088000000000005,-0.0007787000000000002
4.1088000000000005,-0.0007786
4.1088000000000005,-0.0007785000000000001
4.109,-0.0007783999999999998
4.1084000000000005,-0.0007783
4.109,-0.0007782000000000002
4.1102,-0.0007780999999999999
4.1098,-0.000778
4.1104,-0.0007779000000000002
4.11,-0.0007777999999999999
4.11,-0.0007777000000000001
4.1096,-0.0007776000000000003
4.1092,-0.0007775
4.1098,-0.0007774000000000001
4.11,-0.0007772999999999999
4.1086,-0.0007772
4.1098,-0.0007771000000000002
4.1084000000000005,-0.0007769999999999999
4.1096,-0.0007769000000000001
4.1086,-0.0007768000000000002
4.1096,-0.0007767
4.109,-0.0007766000000000001
4.1084000000000005,-0.0007764999999999998
4.1088000000000005,-0.0007764
4.1092,-0.0007763000000000002
4.1098,-0.0007761999999999999
4.1094,-0.0007761
4.1094,-0.0007760000000000002
4.1096,-0.0007758999999999999
4.1096,-0.0007758000000000001
4.1106,-0.0007756999999999998
4.1102,-0.0007756
4.1102,-0.0007755000000000001
4.1102,-0.0007753999999999999
4.1098,-0.0007753
4.1092,-0.0007752000000000002
4.1106,-0.0007750999999999999
4.1088000000000005,-0.0007750000000000001
4.1088000000000005,-0.0007749000000000002
4.1092,-0.0007748
4.1102,-0.0007747000000000001
4.1108,-0.0007745999999999999
4.1122,-0.0007745
4.1118,-0.0007744000000000002
4.112,-0.0007742999999999999
4.111,-0.0007742000000000001
4.1106,-0.0007741000000000002
4.1104,-0.000774
4.111,-0.0007739000000000001
4.1108,-0.0007737999999999998
4.109,-0.0007737
4.11,-0.0007736000000000002
4.1108,-0.0007734999999999999
4.1108,-0.0007734
4.1096,-0.0007733000000000002
4.1114,-0.0007731999999999999
4.1094,-0.0007731000000000001
4.111,-0.0007730000000000002
4.1098,-0.0007729
4.1094,-0.0007728000000000001
4.1104,-0.0007726999999999999
4.1104,-0.0007726
4.1086,-0.0007725000000000002
4.1104,-0.0007723999999999999
4.1092,-0.0007723000000000001
4.11,-0.0007722000000000002
4.1106,-0.0007721
4.111,-0.0007720000000000001
4.1098,-0.0007718999999999998
4.1104,-0.0007718
4.111,-0.0007717000000000002
4.1104,-0.0007715999999999999
4.1104,-0.0007715
4.111,-0.0007714000000000002
4.1082,-0.0007712999999999999
4.1096,-0.0007712000000000001
4.109,-0.0007710999999999998
4.1092,-0.000771
4.1102,-0.0007709000000000001
4.1104,-0.0007707999999999999
4.1112,-0.0007707
4.1094,-0.0007706000000000002
4.1104,-0.0007704999999999999
4.1104,-0.0007704000000000001
4.1096,-0.0007703000000000002
4.1102,-0.0007702
4.111,-0.0007701000000000001
4.1108,-0.0007699999999999999
4.1108,-0.0007699
4.1106,-0.0007698000000000002
4.1096,-0.0007696999999999999
4.1092,-0.0007696000000000001
4.1096,-0.0007695000000000002
4.1094,-0.0007693999999999999
4.1096,-0.0007693000000000001
