time,col0,col1,col2,col3,col4
0.002365,6.8806,6.9286,6.8646,6.8246,6.8166
0.002366,6.8806,6.9206,6.8646,6.8326,6.8166
0.002367,6.8886,6.9206,6.8806,6.8326,6.8326
0.0023679999999999994,6.8886,6.9206,6.8966,6.8326,6.8326
0.0023689999999999996,6.9046,6.9366,6.8886,6.8486,6.8326
0.0023699999999999997,6.8966,6.9366,6.8806,6.8486,6.8326
0.002371,6.8966,6.9286,6.8966,6.8486,6.8406
0.002372,6.9206,6.9286,6.8886,6.8646,6.8406
0.002373,6.9126,6.9446,6.8966,6.8566,6.8406
0.0023740000000000002,6.9126,6.9606,6.9046,6.8566,6.8486
0.0023749999999999995,6.9126,6.9446,6.8966,6.8566,6.8486
0.0023759999999999996,6.9046,6.9526,6.9286,6.8726,6.8566
0.0023769999999999998,6.9206,6.9526,6.9046,6.8646,6.8566
0.002378,6.9286,6.9606,6.9046,6.8726,6.8566
0.002379,6.9286,6.9606,6.9126,6.8646,6.8566
0.00238,6.9286,6.9606,6.9046,6.8726,6.8566
0.0023809999999999994,6.9286,6.9606,6.9126,6.8806,6.8566
0.0023819999999999996,6.9366,6.9606,6.9206,6.8806,6.8566
0.0023829999999999997,6.9366,6.9846,6.9126,6.8806,6.8566
0.002384,6.9366,6.9606,6.9286,6.8806,6.8566
0.002385,6.9366,6.9606,6.9206,6.8726,6.8646
0.002386,6.9446,6.9686,6.9206,6.8806,6.8726
0.0023870000000000002,6.9446,6.9766,6.9206,6.8806,6.8726
0.0023879999999999995,6.9366,6.9686,6.9286,6.8886,6.8726
0.0023889999999999996,6.9446,6.9606,6.9126,6.8886,6.8646
0.0023899999999999998,6.9366,6.9606,6.9206,6.8806,6.8726
0.002391,6.9526,6.9606,6.9206,6.8726,6.8646
0.002392,6.9286,6.9686,6.9366,6.8806,6.8646
0.002393,6.9286,6.9686,6.9126,6.8806,6.8726
0.0023940000000000003,6.9366,6.9686,6.9206,6.8726,6.8646
0.0023949999999999996,6.9366,6.9686,6.9046,6.8726,6.8646
0.0023959999999999997,6.9446,6.9526,6.9206,6.8726,6.8566
0.002397,6.9286,6.9606,6.9126,6.8726,6.8646
0.002398,6.9206,6.9606,6.9206,6.8726,6.8566
0.002399,6.9286,6.9526,6.9046,6.8726,6.8486
0.0024000000000000002,6.9126,6.9446,6.9126,6.8726,6.8406
0.0024009999999999995,6.9046,6.9526,6.9046,6.8646,6.8566
0.0024019999999999996,6.9126,6.9446,6.9046,6.8646,6.8486
0.0024029999999999998,6.9126,6.9366,6.9046,6.8486,6.8326
0.002404,6.9126,6.9366,6.8966,6.8566,6.8406
0.002405,6.8886,6.9366,6.8966,6.8566,6.8246
0.002406,6.9126,6.9286,6.9046,6.8486,6.8406
0.0024070000000000003,6.9046,6.9206,6.8806,6.8406,6.8326
0.0024079999999999996,6.8966,6.9286,6.8726,6.8406,6.8326
0.0024089999999999997,6.8886,6.9286,6.8726,6.8326,6.8166
0.00241,6.8886,6.9046,6.8646,6.8406,6.8086
0.002411,6.8886,6.9126,6.8646,6.8406,6.8166
0.002412,6.8726,6.9126,6.8726,6.8166,6.8166
0.002413,6.8646,6.9126,6.8566,6.8086,6.8086
0.0024139999999999995,6.8566,6.9046,6.8566,6.8086,6.8006
0.0024149999999999996,6.8646,6.8966,6.8486,6.8086,6.7926
0.0024159999999999997,6.8406,6.8806,6.8646,6.8006,6.7926
0.002417,6.8646,6.8806,6.8406,6.8006,6.7926
0.002418,6.8486,6.8806,6.8406,6.7846,6.7926
0.002419,6.8486,6.8726,6.8246,6.7766,6.7766
0.0024200000000000003,6.8326,6.8726,6.8246,6.7846,6.7686
0.0024209999999999995,6.8246,6.8566,6.8246,6.7846,6.7766
0.0024219999999999997,6.8326,6.8646,6.8086,6.7686,6.7686
0.002423,6.8246,6.8486,6.8086,6.7686,6.7526
0.002424,6.8166,6.8486,6.8086,6.7606,6.7526
0.002425,6.8086,6.8486,6.7926,6.7606,6.7526
0.002426,6.8086,6.8406,6.7926,6.7526,6.7446
0.0024269999999999995,6.7926,6.8406,6.7846,6.7526,6.7446
0.0024279999999999996,6.8086,6.8326,6.7766,6.7526,6.7446
0.0024289999999999997,6.7926,6.8246,6.7926,6.7366,6.7206
0.00243,6.7846,6.8246,6.7766,6.7366,6.7206
0.002431,6.7926,6.8166,6.7846,6.7286,6.7126
0.002432,6.7846,6.8166,6.7686,6.7206,6.7206
0.0024330000000000003,6.7846,6.8006,6.7686,6.7206,6.7126
0.0024339999999999995,6.7766,6.8006,6.7686,6.7206,6.7206
0.0024349999999999997,6.7846,6.8006,6.7686,6.7126,6.7126
0.002436,6.7766,6.8006,6.7526,6.7286,6.7046
0.002437,6.7686,6.7926,6.7446,6.7046,6.6806
0.002438,6.7526,6.7926,6.7286,6.7046,6.6886
0.002439,6.7606,6.7846,6.7526,6.6966,6.6886
0.0024399999999999995,6.7526,6.7766,6.7366,6.7046,6.6886
0.0024409999999999996,6.7446,6.7846,6.7526,6.7046,6.6886
0.0024419999999999997,6.7526,6.7606,6.7206,6.6806,6.6806
0.002443,6.7446,6.7766,6.7126,6.6886,6.6726
0.002444,6.7286,6.7686,6.7126,6.6726,6.6726
0.002445,6.7446,6.7686,6.7286,6.6726,6.6726
0.0024460000000000003,6.7366,6.7686,6.7286,6.6646,6.6646
0.0024469999999999995,6.7286,6.7446,6.7126,6.6886,6.6646
0.0024479999999999997,6.7126,6.7606,6.7206,6.6726,6.6646
0.002449,6.7206,6.7526,6.7126,6.6806,6.6646
0.00245,6.7206,6.7606,6.7206,6.6806,6.6486
0.002451,6.7046,6.7606,6.7126,6.6726,6.6486
0.002452,6.7206,6.7446,6.7046,6.6646,6.6486
0.0024529999999999995,6.7126,6.7526,6.7126,6.6486,6.6566
0.0024539999999999996,6.7126,6.7526,6.7126,6.6726,6.6566
0.0024549999999999997,6.7286,6.7526,6.6966,6.6646,6.6406
0.002456,6.7286,6.7446,6.6886,6.6566,6.6486
0.002457,6.7206,6.7606,6.7126,6.6726,6.6566
0.002458,6.7286,6.7446,6.6966,6.6486,6.6486
0.0024590000000000002,6.7286,6.7446,6.7046,6.6646,6.6406
0.0024599999999999995,6.7046,6.7366,6.6886,6.6646,6.6486
0.0024609999999999996,6.7126,6.7446,6.7046,6.6566,6.6486
0.0024619999999999998,6.7046,6.7526,6.6966,6.6566,6.6486
0.002463,6.7126,6.7366,6.7046,6.6646,6.6406
0.002464,6.7126,6.7446,6.6966,6.6646,6.6566
0.002465,6.7206,6.7526,6.7206,6.6566,6.6646
0.0024659999999999994,6.7286,6.7606,6.7286,6.6646,6.6646
0.0024669999999999996,6.7286,6.7606,6.7046,6.6726,6.6646
0.0024679999999999997,6.7286,6.7526,6.7126,6.6646,6.6486
0.002469,6.7206,6.7606,6.7206,6.6646,6.6566
0.00247,6.7366,6.7606,6.7126,6.6726,6.6646
0.002471,6.7366,6.7766,6.7286,6.6806,6.6566
0.0024720000000000002,6.7526,6.7686,6.7286,6.6726,6.6726
0.0024729999999999995,6.7366,6.7686,6.7206,6.6806,6.6646
0.0024739999999999996,6.7446,6.7846,6.7286,6.6886,6.6646
0.0024749999999999998,6.7446,6.7766,6.7286,6.6886,6.6806
0.002476,6.7446,6.7686,6.7286,6.6966,6.6646
0.002477,6.7526,6.7846,6.7286,6.6966,6.6806
0.002478,6.7526,6.7846,6.7446,6.6966,6.6886
0.0024789999999999994,6.7526,6.7846,6.7446,6.6886,6.6806
0.0024799999999999996,6.7766,6.7846,6.7606,6.7126,6.7046
0.0024809999999999997,6.7766,6.8006,6.7526,6.7126,6.6886
0.002482,6.7686,6.7926,6.7446,6.7206,6.7046
0.002483,6.7606,6.8006,6.7686,6.7126,6.7046
0.002484,6.7686,6.8006,6.7606,6.7286,6.7126
0.0024850000000000002,6.7846,6.8086,6.7686,6.7126,6.7206
0.0024859999999999995,6.7846,6.8166,6.7766,6.7366,6.7286
0.0024869999999999996,6.7926,6.8166,6.7766,6.7366,6.7206
0.0024879999999999998,6.7926,6.8326,6.7766,6.7526,6.7286
0.002489,6.8006,6.8326,6.7846,6.7446,6.7366
0.00249,6.8006,6.8486,6.7926,6.7446,6.7526
0.002491,6.8166,6.8406,6.7926,6.7446,6.7366
0.0024919999999999994,6.8086,6.8326,6.7926,6.7606,6.7446
0.0024929999999999996,6.8006,6.8486,6.8006,6.7606,6.7606
0.0024939999999999997,6.8166,6.8566,6.8086,6.7606,6.7606
0.002495,6.8166,6.8566,6.8006,6.7766,6.7686
0.002496,6.8406,6.8486,6.8086,6.7686,6.7686
0.002497,6.8326,6.8726,6.8086,6.7846,6.7766
0.0024980000000000002,6.8566,6.8726,6.8326,6.7926,6.7926
0.0024989999999999995,6.8486,6.8806,6.8326,6.8006,6.7766
0.0024999999999999996,6.8406,6.8966,6.8326,6.8006,6.7766
0.0025009999999999998,6.8406,6.8886,6.8246,6.7926,6.7926
0.002502,6.8566,6.8966,6.8486,6.8006,6.7926
0.002503,6.8726,6.8886,6.8566,6.8086,6.8006
0.002504,6.8726,6.8966,6.8646,6.8086,6.8086
0.0025050000000000003,6.8806,6.9126,6.8566,6.8246,6.8086
0.0025059999999999995,6.8726,6.9126,6.8486,6.8326,6.8166
0.0025069999999999997,6.8806,6.9126,6.8646,6.8326,6.8166
0.002508,6.8726,6.9126,6.8646,6.8326,6.8166
0.002509,6.8886,6.9206,6.8726,6.8326,6.8166
0.00251,6.8966,6.9286,6.8886,6.8406,6.8246
0.002511,6.8966,6.9286,6.8726,6.8406,6.8246
0.0025119999999999995,6.8886,6.9446,6.8806,6.8486,6.8326
0.0025129999999999996,6.9046,6.9446,6.8886,6.8486,6.8486
0.0025139999999999997,6.9126,6.9286,6.8806,6.8486,6.8326
0.002515,6.8966,6.9366,6.8966,6.8566,6.8486
0.002516,6.9126,6.9286,6.9046,6.8566,6.8406
0.002517,6.9206,6.9446,6.8966,6.8566,6.8486
0.0025180000000000003,6.9126,6.9366,6.9046,6.8566,6.8566
0.0025189999999999995,6.9126,6.9446,6.9046,6.8726,6.8566
0.0025199999999999997,6.9126,6.9446,6.9126,6.8646,6.8566
0.002521,6.9126,6.9606,6.9046,6.8486,6.8406
0.002522,6.9126,6.9686,6.9046,6.8726,6.8486
0.002523,6.9126,6.9606,6.9046,6.8646,6.8566
0.002524,6.9366,6.9606,6.9046,6.8566,6.8726
0.0025249999999999995,6.9286,6.9686,6.9126,6.8726,6.8646
0.0025259999999999996,6.9206,6.9446,6.9046,6.8566,6.8646
0.0025269999999999997,6.9126,6.9446,6.9046,6.8646,6.8486
0.002528,6.9206,6.9606,6.9126,6.8566,6.8566
0.002529,6.9206,6.9686,6.9046,6.8726,6.8566
0.00253,6.9206,6.9606,6.9206,6.8726,6.8566
0.0025310000000000003,6.9286,6.9606,6.9046,6.8646,6.8806
0.0025319999999999995,6.9286,6.9526,6.9126,6.8726,6.8406
0.0025329999999999997,6.9206,6.9526,6.9126,6.8646,6.8646
0.002534,6.9286,6.9526,6.9046,6.8486,6.8566
0.002535,6.9206,6.9446,6.9126,6.8646,6.8566
0.002536,6.9126,6.9526,6.9126,6.8726,6.8646
0.002537,6.9126,6.9366,6.9126,6.8566,6.8566
0.0025379999999999995,6.9286,6.9366,6.9046,6.8726,6.8486
0.0025389999999999996,6.9126,6.9446,6.9046,6.8566,6.8486
0.0025399999999999997,6.9126,6.9446,6.8966,6.8566,6.8326
0.002541,6.8966,6.9206,6.9046,6.8486,6.8486
0.002542,6.9046,6.9446,6.8886,6.8566,6.8326
0.002543,6.9046,6.9206,6.8886,6.8486,6.8406
0.0025440000000000003,6.8806,6.9286,6.8806,6.8486,6.8406
0.0025449999999999995,6.8886,6.9286,6.8726,6.8246,6.8326
0.0025459999999999997,6.8966,6.9286,6.8726,6.8326,6.8246
0.002547,6.8886,6.9206,6.8726,6.8246,6.8166
0.002548,6.8726,6.9206,6.8726,6.8406,6.8246
0.002549,6.8886,6.9126,6.8726,6.8166,6.7926
0.00255,6.8806,6.9126,6.8646,6.8166,6.8166
0.0025509999999999994,6.8726,6.9046,6.8566,6.8166,6.8086
0.0025519999999999996,6.8806,6.9126,6.8486,6.8166,6.8086
0.0025529999999999997,6.8566,6.9046,6.8646,6.8086,6.7926
0.002554,6.8566,6.8726,6.8486,6.8006,6.8006
